Column1,Company,Description,number of samples,Category,Pt,Pd,Rh,Weight,Analysis#
461,Ford ,big flat w/ upright,1,5,182,2545,320,1.09,766
462,Peugeot,big flat w/ sensor 172,1,1,1679,187,327,1.506,172
463,Suzuki,Manifold,3,1,294,5340,886,0.53,389
464,Suzuki,Manifold,1,1,327,5140,877,0.54,624
465,Audi ,Filter,1,1,1634,868,0,3.2,690
466,Mazda,MPV Subaru,1,1,367,6330,715,0.52,79
468,Nissan ,Manifold,2,3,506,1741,505,0.32,774
469,Nissan ,Manifold,2,3,509,1860,507,0.325,788
470,Citroen,Partner filter,1,2,1817,0,0,3.61,532
471,Fiat,Big wide 3 stripes,1,1,1636,41,320,1.238,11
472,Fiat,Big wide 3 stripes,1,1,835,18,202,1.243,39
473,Fiat,Big wide 3 stripes,3,1,1466,0,292,1.268,501
474,Catco ,AM,1,7,,,,,
475,Skoda ,Shuttle w/ bars,2,2,4432,0,0,1.419,499
476,Skoda ,Shuttle w/ bars,1,2,4245,0,0,1.44,561
477,KIA,half,2,3,0,2750,283,0.29,593
478,Toyota ,front w/ half cover,1,1,0,6209,482,0.513,768
479,Subaru ,Front w/ sensor,1,1,138,1160,154,0.582,129
480,Subaru ,Front w/ sensor,1,1,665,4245,625,0.7374,217
481,KIA,full,1,3,0,2670,470,0.567,523
482,Mitsubishi,115,1,3,153,7940,686,0.284,447
483,Mitsubishi,115,2,3,212,7540,713,0.28,503
484,Peugeot,380,1,2,1400,571,0,2.545,805
485,KIA,cast  3 wholes 04DAO,1,1,10,4339,367,0.533,904
486,Sevel,Round medium,1,2,2768,944,193,1.17,759
487,Subaru ,B3 back 250,1,2,958,11882,3135,0.273,193
488,Subaru ,B3 back 250,4,2,959,12800,3145,0.272,238
489,VW,Pol BC,2,3,0,2287,258,0.496,359
490,VW,Pol BC,4,3,0,1628,220,0.5,500
491,Subaru ,Back 200,1,1,1348,10580,1250,0.289,130
492,BMW,Flat big bend,1,2,0,2412,360,1.81,369
493,BMW,Flat medium bend,1,2,0,1989,367,1.76,325
494,Nissan ,Manifold big 130,1,1,742,2655,530,0.533,569
495,Toyota ,Manifold shiny,1,1,1819,6718,507,0.46,861
496,Toyota ,Manifold shiny,1,1,1811,6789,516,0.459,860
497,Mitsubishi,Manifold 2015,3,1,0,7826,511,0.33,773
498,GM,Med silver cover,6,4,0,5187,164,0.569,671
499,Citroen,Round medium w/  half cover,1,2,17,2855,188,1.74,310
500,Mercedes,Fat Cigar S,2,2,3142,20,4,2.2,459
501,Ford ,Transit small,1,4,1748,860,0,1.197,830
502,Mitsubishi,Manifold Pair,1,2,91,7875,645,0.856,687
503,Ford,Filter h/h,1,5,1365,621,0,3.259,591
504,Peugeot,Round w/ grate,1,2,17,2855,188,1.74,310
505,Toyota ,Camry w/ bar,1,1,40,5215,554,0.61,347
506,GM,Big Round Bad,1,5,16,1352,389,1.34,517
507,GM,Big Round Bad,2,5,0,1330,391,1.38,548
508,GM,Flat Oval w/ blip,4,4,0,2258,309,1.37,747
509,Hyundai,Manifold 728,2,1,0,5640,233,0.503,728
510,Peugeot,Silver mini,1,3,7,1433,120,0.524,799
511,Peugeot,Silver mini,2,3,6,1414,124,0.513,843
512,VW,long neck,2,1,0,2608,185,0.823,819
513,VW,long neck,2,1,122,2478,326,0.795,818
514,VW,long neck,2,1,4,2637,194,0.821,817
515,Suzuki,manifold long,3,1,294,5340,886,0.53,389
516,Suzuki,manifold med.,1,1,327,5140,877,0.54,624
517,Fiat,flat med. Many holes,1,1,16,2247,558,0.966,771
518,Nissan ,back mini 271,2,3,738,43,146,0.31,271
519,VW,small elbow,1,3,0,3672,306,0.26,833
520,Fiat,Lancia long curved neck,1,1,0,4534,415,0.826,801
521,Fiat,771,1,1,16,2247,558,0.966,771
522,Toyota ,AD5,1,2,6996,0,0,0.765,828
523,KIA,Flat 250,1,2,0,3605,669,1.2,506
524,Mercedes,KT1247,1,2,4528,2258,0,0.907,927
525,Mercedes,KT1247-1,1,2,1562,787,0,1.69,927
526,Mercedes,Round 138,1,2,3619,0,0,1.3546,138
527,Peugeot,415 fat cigar,1,2,35,2935,284,1.26,61
528,Seat,2000,1,2,323,4032,280,1.22,59
529,Audi ,Pre,4,3,0,8315,356,0.245,475
530,Audi ,Pre,2,3,22,8050,329,0.229,552
531,Renault,Small S,1,3,2212,0,0,0.716,152
532,Honda,Accord Big,1,2,1316,4415,680,0.916,657
533,Honda,Accord Big,1,2,1287,4440,747,0.921,658
534,Honda,Accord Big,4,2,1309,4127,651,0.927,259
535,Honda,Pre 150,2,3,2,6586,1330,0.382,769
536,Honda,Mini,2,3,386,660,371,0.33,765
537,Mercedes,KT6043 good,1,2,2559,1290,0,3.056,931
538,Opel,Tri Big AC GM28,1,2,224,3388,205,1.6,939
539,Ford,Truck,1,5,2489,2531,0,1.33,968
540,Subaru ,Jeep,1,5,1480,7845,604,0.939,478
541,Subaru ,,1,,,,,,421
542,GM,Partner 6648,1,5,5833,0,0,0.564,966
543,GM,Partner 0431,1,5,9368,0,0,0.602,982
544,Renault,Mini manifold 70,1,3,0,5580,516,0.262,596
545,Skoda ,Octavia ACB,1,2,3611,0,0,1.4,951
546,VW,Filter + ceramic,1,2,1794,1000,0,3.053,537
547,Skoda ,Fabia 045 131 701 N,1,2,5065,0,0,0.941,980
548,Renault,Round Megane C216,1,1,430,1359,419,1.12,955
549,Renault,Round Megane C170,1,2,79,5332,486,1.18,956
550,Mercedes,Flat long wide,1,2,1310,0,272,1.565,326
551,Opel,55570431,1,2,199,3023,189,1.656,1001
552,Suzuki,CO1,1,1,1697,0,574,0.487,1005
553,Suzuki,CO2,1,1,4567,0,912,0.498,1004
554,Suzuki,CO3,1,1,3808,0,1837,0.396,997
555,Suzuki,CO4,1,1,8509,0,2718,0.407,1003
556,Nissan ,manifold 664,2,3,0,4257,351,0.49,664
557,Mitsubishi,AAD,1,1,0,10873,547,0.273,1002
558,Suzuki,Pre big,2,3,988,0,326,0.53,665
559,Subaru ,B4 new FCA49,2,2,590,17950,777,0.346,993
560,Mitsubishi,King new,1,2,2330,1128,2,1.89,346
561,BMW,cigar w/ split,1,2,195,6615,252,1.238,337
562,Subaru ,B3 front w/ 2 sensors,1,2,1978,6631,1292,0.42,893
563,KIA,DF LE42,2,2,1542,765,2,1.741,839
564,KIA,DF LE42,4,2,1717,834,0,1.81,856
565,Jaguar,440,2,2,0,6610,168,0.824,440
566,Suzuki,Manifold bad,1,3,1846,28,655,0.421,225
567,Suzuki,Manifold bad,5,3,1623,847,603,0.442,311
568,Ford,Connect,1,4,1327,0,0,1.094,48
569,Citroen,Jumpy,1,1,1062,0,0,1.02,109
570,Mazda,K2A1,1,1,0,1730,317,1.06,339
571,KIA,Carnival,1,1,1502,20,13,1.3784,123
572,Toyota ,AB8,1,3,840,0,0,1.04,483
573,Toyota ,AB8,2,3,1076,0,0,0.921,793
574,Toyota ,AB8,3,3,914,884,0,1.074,914
575,Toyota ,AA4,1,1,725,0,0,1.23,600
576,Mazda,Small square,1,3,1401,32,281,0.314,213
577,Fiat,Long hollow,1,1,1803,0,342,1.423,816
578,BMW,filter,1,2,1405,12,0,3.27,486
579,Renault,Kangoo Medium,1,3,1151,9,0,1.013,468
580,Hyundai,D1AA22,1,3,1177,0,0,0.7734,794
581,Toyota ,AG4,1,2,3703,1229,0,0.934,792
582,Mitsubishi,AAD,1,1,6,10050,573,0.265,932
583,VW,Golf 2000 Benzene w/o,1,2,265,3710,269,1.87,1018
584,Mitsubishi,AAE,1,3,41,867,275,0.376,1017
585,Ssangyong,24320,1,2,1304,0,0,1.58,1016
586,Citroen ,Partner TR PSA K685,2,1,807,784,0,1.026,1015
587,Citroen ,Partner TR PSA K638,1,1,1463,963,0,0.905,1014
588,Citroen ,Partner TR PSA K635,1,1,2641,1723,0,0.94,1013
589,Citroen ,Partner TR PSA K685,1,1,869,839,0,0.961,1012
590,Citroen ,PSA F026N,2,1,0,0,0,1.895,1011
591,Peugeot,Big flat no sensor,1,2,0,2629,267,1.419,1010
592,Mitsubishi,XA,1,3,65,616,305,0.583,1009
593,KIA,Getz 2JB5D,1,1,6,8009,180,0.78,1008
594,GM,like Partner 55570431,2,5,9351,0,6,0.607,1007
595,Suzuki,Big flat 77E-CO3,1,2,267,3333,239,1.163,1006
596,Mazda,ZJ15,2,3,355,1886,720,0.305,1000
597,GM,like Partner 55570431,2,5,9391,0,0,0.603,999
598,KIA,mini pre GDUCR0,1,3,4,745,75,0.285,996
599,Unknown,Chinese,1,3,3,792,251,0.806,995
600,Subaru ,B4 new elbow,3,1,1070,13525,3345,0.27,994
601,Renault,New Med. S 208A02104R,1,1,0,2842,244,0.843,992
602,GM,filter +ceramic GM207,1,5,2261,1266,0,2.574,991
603,Ford,Big Flat F7CC FED,1,5,76,3419,0,1.11,1019
604,VW,Golf 2000 benzene,,,,,,,
605,KIA,UDRS11,1,2,2628,0,0,1.62,1021
606,KIA,2EAB0,1,2,0,7578,152,0.793,1043
607,Toyota ,Camry 28320,1,2,2545,8436,659,0.627,1044
608,Volvo ,Filter 31439684 + steel,1,2,624,297,0,1.985,1041
609,Volvo ,Filter 31370436 + steel,1,2,745,336,0,2.03,1038
610,Ford,Big round cast,1,4,0,86,144,0.973,1032
611,Renault,Megane C71,2,1,0,2154,336,1.254,1034
612,Renault,Megan C138,1,1,74,5491,469,1.19,1036
613,Renault,Round Megane C152,1,1,213,1588,367,1.002,1040
614,VW,Golf 2000 Benzene w/,1,2,288,4068,305,1.84,1023
615,Toyota ,Camry 28330,1,2,1991,1594,536,0.659,1024
616,Renault,Medium S,1,1,4237,0,0,0.753,1028
617,Renault,Megan C199,1,1,1395,0,320,1.256,1030
618,Renault,Megan C130,1,2,0,2764,380,1.28,1031
619,GM,ceramic,1,1,7276,3642,0,0.512,991
620,GM,,1,1,2063,1019,0,2.063,991b
621,Fiat,,,,6641,3285,0,0.444,875
622,Citroen ,Like C5 4351,1,1,0,1613,316,0.86,1026
623,Honda,Acura,1,2,1603,5417,500,1.553,797
624,Mitsubishi,SU,1,3,73,546,291,0.581,557
625,BMW,838,1,2,0,7423,340,1.007,838
626,Toyota ,AF3,1,2,3251,1152,0,0.969,607
627,Toyota ,ZC8,1,2,313,0,0,2.03,1075
628,Toyota ,ZC7,1,2,0,0,0,1.008,1074
629,Peugeot,TR PSA K647,1,3,0,1653,130,0.459,1073
630,Hyundai,Tucson UFJMO3,1,2,2420,972,0,1.053,1072
631,Hyundai,Tucson UFJMO4,1,2,1277,72,0,2.662,1072
632,Hyundai,W2BEF1,1,1,0,7006,246,0.524,1071
633,Unknown,France 2D036 manifold,1,2,380,5150,346,0.896,1070
634,Hyundai,W2BPF2,1,1,0,7751,281,0.519,1069
635,Renault,Megane C71,1,1,0,1971,293,1.304,1068
636,Ford,Mondeo 2S71 DA,1,4,829,0,223,1.032,1067
637,Ford,Mondeo 1S71 EG,1,5,0,6681,487,1.279,1066
638,Ford,Mondeo 4S71 DA,1,4,0,1129,259,1.219,1065
639,Ford,Mondeo 4S71-5E211-CA,1,4,0,493,251,1.259,1064
640,Chrysler ,CLLC363,1,5,4319,2168,0,1.181,1063
641,KIA,ESH31,1,3,95,2370,452,0.523,1062
642,Sevel ,Filter 8820,1,1,546,536,0,0.769,1061
643,Sevel ,Filter 8820 b,1,1,0,0,0,2.849,1061
644,GM,Aveo 96427688,1,4,0,2350,435,0.705,1060
645,Toyota ,Front GG2,1,1,2193,2931,578,0.526,1059
646,Toyota ,Back,1,3,2072,0,392,0.398,1059b
647,Toyota ,Front GM8,1,1,1661,6829,502,0.485,1058
648,Toyota ,Back,1,3,1979,0,382,0.432,1058b
649,Toyota ,Front GY7,1,1,1715,6586,495,0.486,1057
650,Toyota ,Back,1,3,2081,0,398,0.397,1057b
651,GM,Aveo 96418351,1,4,0,3548,471,0.762,1056
652,VW,Germany 6N0 131 701 BL,1,2,0,4186,305,1.12,1055
653,,,,,,,,,1054
654,VW, 1J0 178 AA DL,1,2,316,4659,309,1.233,1053
655,Opel,"Tri Big AC GM28 90573212
",1,2,210,3049,197,1.687,1052
656,VW,Germany 6N0 131 701 AT,1,2,0,2942,295,1.192,1051
657,Suzuki,60G2,1,1,195,3150,185,0.854,1050
658,Opel,"Tri Big GM 32 90531239
",1,2,2291,0,0,1.373,1049
659,VW,Germany 1J0 178 AA DN,1,2,293,3967,283,1.267,1048
660,KIA,Flat 250 UDJM11,1,1,1054,0,0,1.208,1047
661,Suzuki,60G1,1,3,1321,0,260,0.454,1046
662,GM,Aveo 96471611,1,4,2552,0,508,0.664,1045
663,Mitsubishi,AGR,1,3,37,45,352,0.383,1039
664,Volvo,Filter + steel 31370436,1,1,745,336,0,2.031,1038
665,Mercedes,KT 0334 long neck,1,1,0,2466,217,0.811,1037
666,Chrysler ,sensor in middle good,1,5,0,3968,661,1.058,1035
667,Mecedes,6043,1,2,7491,3783,0,0.631,931
668,Mecedes,6043-1,1,2,1280,644,0,2.425,931b
669,Mecedes,6044,1,2,6144,3096,0,0.627,927
670,Mecedes,6044-1,1,2,0,0,0,2.344,927b
671,Mecedes,1247,1,2,4710,2263,0,0.91,913
672,Mecedes,1247-1,1,2,1313,681,0,1.85,913b
673,,,,,,,,,1034
674,,,,,,,,,1033
675,,,,,,,,,1032
676,,,,,,,,,1031
677,,,,,,,,,1030
678,,,,,,,,,1029
679,,,,,,,,,1028
680,Fiat,Lancia manifold,1,3,0,2554,163,0.674,1076
681,Daihatsu,bad 2,1,1,1616,0,326,0.801,963
682,Daihatsu,manifold,1,1,1500,2013,1286,0.671,1080
683,Isuzu,Dmax tri,3,1,535,1678,294,0.83,411
684,Volvo,Long,1,2,1532,0,298,1.45,145
685,Volvo,Long,3,2,1328,23,292,1.428,448
686,Hyundai,Tucson UFJMO1,1,2,6598,13,0,1.098,1081
687,Hyundai,Tucson UFNFO3,1,2,4457,2189,0,1.073,1084
688,Citroen,Partner K538,1,2,1533,734,0,1.25,1082
689,Citroen,Partner K538,1,2,1552,747,0,1.24,1082
690,Citroen,Partner K538,1,2,1526,735,0,1.242,1082
691,Citroen,Partner K536,1,2,749,348,0,1.276,1083
692,Citroen,Partner K644,1,2,383,168,0,1.231,1087
693,Citroen,Partner K594,1,2,2739,1349,0,1.508,1088
694,Citroen,Partner K594,1,2,3201,1530,0,1.241,1088
695,Citroen,Partner K450 V,1,2,7251,22,0,1.267,1089
696,,,,,,,,,
